Dataset,MAE_standardized,RMSE_standardized,MAE_cm,RMSE_cm,MAE_cm_per_standard_unit,RMSE_cm_per_standard_unit,Unit,metrics_json
FrenchPiezo,0.011423267424106598,0.022116798907518387,17.596357345581055,34.06863021850586,1540.396166200867,1540.3960745388233,cm,01_FrenchPiezo_main\main\lag_stgnet\runs\lag_stgnet_h30_s2022_1779957547\metrics.json
BC_PGOWN128,0.013454190455377102,0.03165622055530548,21.68414766241858,51.02039868039719,1611.7021484375,1611.7021484375,cm,02_BC_PGOWN128_external\lag_stgnet_k4\runs\lag_stgnet_h30_s2022_1780456005\metrics.json
